"station"	"year"	"lon"	"lat"	"month"	"year_month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"63"	1038	2017	11.008	58.69557	"05"	"2017.05"	61	34.2454784930739	0.598189691516882	7.31449727560005	3.636378421502	304.413876523942	27.3754107560492
"64"	1038	2019	11.008	58.69557	"05"	"2019.05"	61	35.5055709469125	0.702270663584254	7.73260973461355	3.13899181309383	292.812702011627	22.2482174181145
"65"	1039	2017	11.08335	58.809	"10"	"2017.10"	244	34.3399004030433	0.317200077622072	8.67612460186681	1.01968024721525	42.344604364996	37.2939867274181
"66"	1039	2019	11.08335	58.809	"05"	"2019.05"	244	35.6112167499125	0.356469538794916	7.63849249615827	1.14021400916898	220.505323249881	38.7535954592165
"67"	104	2011	14.93532	56.07617	"05"	"2011.05"	39.3	7.26680513850104	0.613240747398917	4.85498813566325	2.28178412263942	421.655065860387	42.0675734801493
"68"	104	2013	14.93532	56.07617	"05"	"2013.05"	39.3	7.41726754205655	0.698659566171422	3.20687769270582	2.79512601206307	412.793161730817	45.3582729355196
"69"	104	2015	14.93532	56.07617	"05"	"2015.05"	39.3	7.25708042248722	0.832569285315046	5.25052320451645	3.34445428693704	389.507612759394	36.7730190342466
"70"	1040	2017	11.2325	58.3875	"05"	"2017.05"	19.7	24.3281236149777	2.83210734976949	10.278440605436	5.38331823716519	321.083134609579	36.4284927700688
"71"	1041	2017	11.24196	58.38587	"05"	"2017.05"	11.9	24.5061643036834	2.79645175539729	10.3097023922552	5.32437068605211	320.414392964095	36.0779787605434
"72"	1042	2017	11.23872	58.38863	"05"	"2017.05"	21.3	23.9804177756966	2.93770670025291	10.4284423731798	5.42801826133419	321.36346444619	36.8035468144787
"73"	1043	2017	11.08654	58.90209	"06"	"2017.06"	63.5	33.7823558525312	0.960605629660964	7.11749657528298	1.7101860998619	270.895720478236	12.4308002064648
"74"	1043	2019	11.08654	58.90209	"05"	"2019.05"	63.5	33.7942208519828	1.69628383783157	6.0983489187324	1.73374814488374	305.708402366284	17.6337992905791
