"Size"	"Reproductive type"	"Adult life span"	"Developmental mechanism"	"Environmental position"	"Living Habits"	"Feeding method"	"Mobility"	"Movement method"	"Bioturbation"	"None"
"Callianassa subterranea"	0.189513839972914	0.194224003057796	0.187452207307923	0.204726930026338	0.162300353094884	0.197237957859362	0.186067227896206	0.19794011311195	0.199639738438519	0.182042101074323	0.190279796764004
"Capitella capitata"	0.30858511223295	0.282028177959144	0.296368828394055	0.280174332100761	0.344795970586312	0.312913117517934	0.341859043731781	0.283883847518018	0.314702551899891	0.31418723700249	0.307043761236522
"Caulleriella (Tharyx) killariensis"	0.253436718088264	0.261063773056578	0.247052666501135	0.239544119244689	0.279846833848937	0.244272368584993	0.276911111460246	0.225892326543692	0.251080688182849	0.253317676073456	0.25278952455631
"Cerastoderma glaucum"	0.153308172264859	0.155960049142527	0.150803534475559	0.164866209679581	0.162664545841431	0.150729645817549	0.148582481879543	0.159688537701354	0.15817722092685	0.14210581669499	0.154654902583097
"Chaetozone setosa"	0.210101043677204	0.221636140291942	0.209348624854626	0.198386176983363	0.236228338953965	0.227853007723623	0.233291699615746	0.204746005256482	0.230254844835607	0.193922854774704	0.21603519955134
"Chamelea striatula"	0.211424822631909	0.216884270186443	0.209926942176993	0.193148839561437	0.230394347765756	0.217184699703222	0.216345279020743	0.220604022647426	0.211516611362322	0.188681247711229	0.211479864958567
"Chironomidae"	0.354173934184965	0.348305509713875	0.358913286707644	0.359917290239505	0.376955612024823	0.346882206246527	0.395005999393523	0.381774254324771	0.32474596178611	0.374160914803386	0.361917856564656
"Corbula gibba"	0.132424100036586	0.140053212345553	0.131670908485706	0.148290503341755	0.145161213499405	0.138584082929922	0.131111156840474	0.143773226375135	0.140988386710013	0.147536339407709	0.139839037767121
"Corophium volutator"	0.215911792903907	0.227555433133249	0.209328718683326	0.20295715995151	0.24241706889699	0.23398144608084	0.213744671697852	0.231272541482829	0.223337168026097	0.21711210159016	0.221498037796546
"Cyathura carinata"	0.335444571736056	0.3233507697683	0.334692322205587	0.334094846621845	0.363633397765715	0.343823971040913	0.356213459320628	0.317705623874084	0.331402641087026	0.350041111660469	0.338496662652492
"Cylichna"	0.286913616472303	0.264923347371823	0.280334143162882	0.297367658847479	0.2892388217222	0.315533838149665	0.277778444576236	0.305665155727725	0.317459916341532	0.277746616911931	0.290943816320611
"Cylichna cylindracea"	0.197484442474472	0.17129198748814	0.190902820469726	0.219793474087156	0.210133356224103	0.20819049067296	0.19566635350946	0.21204710112382	0.21561369615208	0.219040065463336	0.203624304951142
"Diastylis"	0.203722228511538	0.177906921902261	0.202970042383818	0.189933296835532	0.228754242301123	0.215508003788623	0.209950257976869	0.218648435637951	0.2295507366353	0.226005583444522	0.209788486527972
"Diastylis laevis"	0.209549612084435	0.189813115505111	0.208429606017583	0.202465562012332	0.242173615694894	0.228641308877363	0.22336961845145	0.230554657232067	0.242684051372035	0.238537873404619	0.220956470393148
"Diastylis lucifera"	0.209568436307685	0.189830166762932	0.208448329628648	0.202483749862463	0.242195370591798	0.228661848142503	0.223389684151039	0.230575368376774	0.242705852122305	0.238559301696171	0.220976319315252
"Diastylis rathkei"	0.203844967292279	0.178014107450147	0.203092327986676	0.190047728046333	0.228892062395643	0.215637843275546	0.210076749027299	0.218780167175531	0.229689036602558	0.226141747524187	0.20991488011417
"Diplocirrus glaucus"	0.174834784279759	0.179090314894906	0.168870379977502	0.153687522325155	0.188625715950951	0.181674665637779	0.185682632902796	0.182814666671004	0.183605553311725	0.166425412267112	0.176277225569288
"Echinocardium cordatum"	0.125256043273806	0.126516561438627	0.123743135678706	0.134081147889588	0.115914780276366	0.123552241342842	0.126879544206661	0.130273631458228	0.132677402506089	0.13331947154	0.127246727782101
"Edwardsiidae"	0.206849533944465	0.212223896121101	0.204353485050024	0.188448616637434	0.214400241585285	0.217881413988114	0.211507073912007	0.177046147420363	0.219807817626609	0.223085979013444	0.207208213966348
"Einhornia crustulenta"	0.340777340548864	0.318213882086554	0.337009308258077	0.37332446600302	0.337318802157223	0.34694412978678	0.370254807218758	0.319830930996494	0.332091197759116	0.335276404519874	0.340673542933518
"Ennucula tenuis"	0.155552724138611	0.170086571566123	0.164158144809295	0.144338361768165	0.178684692531384	0.16641939019506	0.175745639991656	0.173805822897899	0.173848514143475	0.179008802790142	0.167887708653664
"Eriopisa elongata"	0.242411972049696	0.218607858896884	0.241659772515368	0.232655694794515	0.263205143718158	0.260170892612316	0.271408202260131	0.220462806019734	0.267591753246135	0.268728624338795	0.247856821099601
"Eteone longa"	0.171019081637455	0.17490941745417	0.168958010691331	0.165809148132793	0.183569115306222	0.171295632178379	0.145225441463008	0.178624515005386	0.178716459040127	0.183840663278137	0.172276736472604
"Eudorella emarginata"	0.205985400458322	0.187744890602106	0.205233142293343	0.192345919701332	0.231280876986271	0.217996671551162	0.228344864683701	0.220990003775436	0.205754750075081	0.228421660972101	0.211953055822719
"Eudorella truncatula"	0.227606898248478	0.193487453770492	0.232314169355286	0.222292247553173	0.263260361920824	0.249319431947774	0.260324607823157	0.249497247904896	0.237078587076227	0.25836481617603	0.238633292285522
"Eumida bahusiensis"	0.16168142340513	0.170560116624793	0.164817789908714	0.180038281448268	0.178721094885287	0.166542217988999	0.131430353049498	0.174275272857284	0.173963162065324	0.179285102342595	0.16822986020006
"Euspira"	0.212089396588147	0.223361346588373	0.21522597967493	0.199840043844684	0.208003734288957	0.224037312556692	0.211723429671809	0.227076759372649	0.218375836932956	0.234474702360228	0.217488886030077
"Galathowenia oculata"	0.211811877919734	0.217265678027559	0.209315828952419	0.228946366368184	0.230764633802966	0.201206504157868	0.225678638479323	0.220981380975372	0.202995525233342	0.170029787898304	0.211815742300958
