"Semelparous-Monotelic"	"Iteroparous-Polytelic"	"Semi-continous"	"Fragmentation/Fission"	"Direct"	"Lecitotrophic"	"Planktotrophic"	"Ovoviviparous"	"Deep"	"Middle"	"Top"	"Interface"	"Epibenthic"	"Bentho-pelagic"	"Epilithic"	"Epifaunal"	"Attached"	"Tube dweller"	"Burrow dweller"	"Crevic dweller"	"Case builder"	"Free"	"Parasite/commensal"	"Suspension/filter feeder"	"Deposit feeder (inkl. Both)"	"Predator"	"Scavenger"	"Herbivore"	"Miner/Borer"	"Parasite"	"Grazer"	"Sessile"	"Semi-motile"	"Motile"	"No movement"	"Swimmer"	"Crawler"	"Rafter/Drifter/Byssus"	"Tube-builder"	"Burrower"	"Temporary attachment"	"No transport"	"Diffusive mixing"	"Surface deposition"	"Conveyor belt transport"	"Reverse conveyor belt transport"	"Size"	"Adult life span"
"Diastylis lucifera"	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1
"Diastylis rathkei"	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	2	2
"Diplocirrus glaucus"	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	3	2
"Echinocardium cordatum"	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	4	5
"Edwardsiidae"	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	4	3
"Einhornia crustulenta"	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	2
"Ennucula tenuis"	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	3
"Eriopisa elongata"	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2
"Eteone longa"	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	3
"Eudorella emarginata"	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	2	2
"Eudorella truncatula"	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	2
"Eumida bahusiensis"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	3
"Euspira"	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	3
"Galathowenia oculata"	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	4	3
"Gammarus"	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	3	1
"Gattyana amondseni"	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	3	2
"Glycera alba"	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	4	3
"Glycera unicornis (rouxii)"	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	5	3
"Glycinde nordmanni"	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	4	2
"Golfingia"	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	3	2
"Goniada maculata"	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	4	2
"Halicryptus spinulosus"	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	3	2
"Harpinia antennaria"	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	2
"Hediste diversicolor"	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	5	2
"Heteromastus filiformis"	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	5	2
"Hyala vitrea"	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	2
"Hydrobia"	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	2
"Idotea balthica"	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	3	2
